Frame,Time_Sec,Center_X,Center_Y,Angle_rad
141,0.7050,200.8481,346.9460,-0.1922
142,0.7100,161.1031,342.2350,-0.2116
143,0.7150,126.5900,335.9928,-0.2284
144,0.7200,101.2604,329.7989,-0.2408
145,0.7250,77.4895,323.5846,-0.2525
146,0.7300,61.1385,320.3802,-0.2605
147,0.7350,53.8976,318.0489,-0.2641
148,0.7400,50.7402,317.3100,-0.2657
149,0.7450,56.3023,318.7939,-0.2629
150,0.7500,63.1016,323.4641,-0.2596
151,0.7550,87.9384,326.7415,-0.2473
152,0.7600,113.8596,332.1815,-0.2346
153,0.7650,141.3482,337.9147,-0.2212
154,0.7700,179.3627,344.3614,-0.2027
155,0.7750,222.2702,351.2620,-0.1819
156,0.7800,258.7357,356.5914,-0.1642
157,0.7850,311.9844,360.8243,-0.1386
158,0.7900,364.1675,364.2192,-0.1135
159,0.7950,407.8270,364.7424,-0.0926
160,0.8000,462.0908,363.2721,-0.0667
161,0.8050,522.3560,360.6085,-0.0380
162,0.8100,564.8649,356.8319,-0.0177
163,0.8150,612.4564,350.3348,0.0049
164,0.8200,654.5772,342.8792,0.0250
165,0.8250,688.6569,337.6643,0.0412
166,0.8300,722.8235,330.6385,0.0575
167,0.8350,753.3519,323.6299,0.0721
168,0.8400,773.1428,317.7009,0.0816
169,0.8450,787.9618,313.9062,0.0886
170,0.8500,796.7212,313.2828,0.0928
171,0.8550,797.2850,312.6303,0.0931
172,0.8600,791.8035,314.3605,0.0905
173,0.8650,779.5107,317.1167,0.0846
174,0.8700,764.1859,321.2083,0.0773
175,0.8750,739.7946,328.1551,0.0656
176,0.8800,709.3015,333.5636,0.0511
177,0.8850,676.9731,341.5655,0.0357
178,0.8900,636.3288,347.9575,0.0163
179,0.8950,590.3597,354.4212,-0.0056
180,0.9000,542.2482,359.7372,-0.0285
181,0.9050,488.9985,361.9415,-0.0539
182,0.9100,437.8837,364.0287,-0.0783
183,0.9150,391.5582,363.8280,-0.1004
184,0.9200,338.6551,362.5140,-0.1258
185,0.9250,286.8196,358.4778,-0.1507
186,0.9300,246.3709,354.0468,-0.1702
187,0.9350,200.5343,347.0348,-0.1924
188,0.9400,160.8347,341.8908,-0.2117
189,0.9450,130.5566,335.7900,-0.2265
190,0.9500,98.2435,328.7621,-0.2423
191,0.9550,75.4557,323.6372,-0.2535
192,0.9600,62.7227,320.5893,-0.2597
193,0.9650,54.2338,318.2809,-0.2639
194,0.9700,53.6417,318.0830,-0.2642
195,0.9750,58.7684,319.6865,-0.2617
196,0.9800,70.6176,323.5416,-0.2559
197,0.9850,93.0436,328.1031,-0.2448
198,0.9900,119.6565,333.4544,-0.2318
199,0.9950,153.6227,340.3480,-0.2152
200,1.0000,193.4072,347.8838,-0.1959
201,1.0050,229.7657,351.4855,-0.1782
202,1.0100,277.6463,357.7990,-0.1551
203,1.0150,328.5197,362.5868,-0.1306
204,1.0200,372.7908,363.7835,-0.1094
205,1.0250,425.2547,363.8948,-0.0843
206,1.0300,478.3883,362.9705,-0.0589
207,1.0350,523.4781,360.2357,-0.0374
208,1.0400,571.3076,356.5006,-0.0146
209,1.0450,619.0291,349.2477,0.0081
210,1.0500,655.2902,343.2774,0.0253
211,1.0550,699.5641,335.4347,0.0464
212,1.0600,731.4131,328.6913,0.0616
213,1.0650,753.1846,323.7863,0.0720
214,1.0700,774.8383,318.5537,0.0824
215,1.0750,788.5925,313.4999,0.0889
216,1.0800,793.6276,312.8543,0.0913
217,1.0850,796.2776,312.7304,0.0926
218,1.0900,790.2963,313.7224,0.0898
219,1.0950,780.3781,317.1379,0.0850
220,1.1000,762.4246,321.4739,0.0764
221,1.1050,733.0585,329.6449,0.0624
222,1.1100,706.7292,333.8543,0.0499
223,1.1150,669.7286,342.9131,0.0322
224,1.1200,622.4504,350.9494,0.0097
225,1.1250,581.9171,354.0897,-0.0096
226,1.1300,532.9531,360.6539,-0.0329
227,1.1350,480.2883,363.1197,-0.0580
228,1.1400,428.4042,363.7749,-0.0828
229,1.1450,375.2517,363.7454,-0.1082
230,1.1500,322.2816,361.0569,-0.1336
231,1.1550,279.3662,357.6821,-0.1543
232,1.1600,232.4195,352.8441,-0.1769
233,1.1650,188.2945,346.8047,-0.1983
234,1.1700,156.5439,341.2446,-0.2138
235,1.1750,121.9489,334.1436,-0.2307
236,1.1800,94.4606,327.8738,-0.2441
237,1.1850,76.5640,324.1496,-0.2529
238,1.1900,61.6459,319.9238,-0.2603
239,1.1950,55.1349,318.4371,-0.2635
240,1.2000,55.0621,318.2452,-0.2635
241,1.2050,59.9982,319.6002,-0.2611
242,1.2100,71.4740,323.6203,-0.2554
243,1.2150,90.8902,327.3562,-0.2459
244,1.2200,118.3631,334.5495,-0.2324
245,1.2250,156.3973,340.8082,-0.2139
246,1.2300,187.5093,346.9063,-0.1987
247,1.2350,238.9644,353.8160,-0.1738
248,1.2400,286.3904,358.9068,-0.1509
249,1.2450,329.9097,362.4770,-0.1300
250,1.2500,382.2366,363.7468,-0.1049
251,1.2550,433.8784,363.8530,-0.0802
252,1.2600,486.6832,362.5180,-0.0550
253,1.2650,538.6427,358.4085,-0.0302
254,1.2700,587.1263,353.8161,-0.0071
255,1.2750,626.4916,348.3312,0.0116
256,1.2800,667.5922,341.6182,0.0312
257,1.2850,702.0422,334.9225,0.0476
258,1.2900,730.1299,329.2516,0.0610
259,1.2950,756.4753,323.4119,0.0736
260,1.3000,775.3183,317.7097,0.0826
261,1.3050,786.7669,314.2223,0.0881
262,1.3100,793.3508,313.4078,0.0912
263,1.3150,793.1096,313.4506,0.0911
264,1.3200,787.3840,313.9658,0.0884
265,1.3250,774.5930,318.7833,0.0822
266,1.3300,751.5367,325.3474,0.0712
